SecurityId,AssetName,ExchangeType,SchemaName
ABB,ABB India Limited,BSE,ExchangeList
AEGISLOG,AEGIS LOGISTICS LTD.,BSE,ExchangeList
ARE&M,Amara Raja Energy & Mobility Ltd,BSE,ExchangeList
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,BSE,ExchangeList
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,BSE,ExchangeList
UTIQUE,Utique Enterprises Ltd,BSE,ExchangeList
ARUNAHTEL,ARUNA HOTELS LTD.,BSE,ExchangeList
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,BSE,ExchangeList
ASIANHOTNR,Asian Hotels (North) Limited,BSE,ExchangeList
ATUL,ATUL LTD.,BSE,ExchangeList
ATVPR,ATV PROJECTS INDIA LTD.,BSE,ExchangeList
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,BSE,ExchangeList
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BSE,ExchangeList
FORCEMOT,FORCE MOTORS LTD.-$,BSE,ExchangeList
BAJFINANCE,Bajaj Finance Limited,BSE,ExchangeList
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,BSE,ExchangeList
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,BSE,ExchangeList
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,BSE,ExchangeList
BANARISUG,BANNARI AMMAN SUGARS LTD.,BSE,ExchangeList
BASF,BASF INDIA LTD.,BSE,ExchangeList
BATAINDIA,BATA INDIA LTD.,BSE,ExchangeList
BEML,BEML LTD.,BSE,ExchangeList
BEL,BHARAT ELECTRONICS LTD.,BSE,ExchangeList
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,BSE,ExchangeList
BIHSPONG,BIHAR SPONGE IRON LTD.,BSE,ExchangeList
BINANIIND,BINANI INDUSTRIES LTD.,BSE,ExchangeList
BIRLACABLE,Birla Cable Ltd,BSE,ExchangeList
BLUESTARCO,BLUE STAR LTD.,BSE,ExchangeList
DISAQ,DISA INDIA LTD.,BSE,ExchangeList
QUESTCAP,Quest Capital Markets Ltd,BSE,ExchangeList
BPL,BPL LTD.,BSE,ExchangeList
OAL,Oriental Aromatics Ltd-$,BSE,ExchangeList
CENTEXT,CENTURY EXTRUSIONS LTD.,BSE,ExchangeList
CESC,CESC LTD.,BSE,ExchangeList
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,BSE,ExchangeList
EXIDEIND,EXIDE INDUSTRIES LTD.,BSE,ExchangeList
CIPLA,CIPLA LTD.,BSE,ExchangeList
DICIND,DIC INDIA LTD.,BSE,ExchangeList
CRISIL,CRISIL LTD.,BSE,ExchangeList
CGPOWER,CG Power and Industrial Solutions Ltd,BSE,ExchangeList
DABUR,DABUR INDIA LTD.,BSE,ExchangeList
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,BSE,ExchangeList
ARVIND,ARVIND LTD.,BSE,ExchangeList
BHEL,BHARAT HEAVY ELECTRICALS LTD.,BSE,ExchangeList
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,BSE,ExchangeList
IFCI,IFCI LTD.,BSE,ExchangeList
MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,BSE,ExchangeList
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,BSE,ExchangeList
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,BSE,ExchangeList
SBIN,STATE BANK OF INDIA,BSE,ExchangeList
SAIL,STEEL AUTHORITY OF INDIA LTD.,BSE,ExchangeList
TITAN,Titan Company Limited,BSE,ExchangeList
IDBI,IDBI BANK LTD.,BSE,ExchangeList
DCW,DCW LTD.,BSE,ExchangeList
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,BSE,ExchangeList
DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,BSE,ExchangeList
ELANTAS,ELANTAS BECK INDIA LTD.-$,BSE,ExchangeList
DRREDDY,DR.REDDY'S LABORATORIES LTD.,BSE,ExchangeList
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,BSE,ExchangeList
PGHL,Procter & Gamble Health Ltd,BSE,ExchangeList
ELECTCAST,ELECTROSTEEL CASTINGS LTD.,BSE,ExchangeList
ESABINDIA,ESAB INDIA LTD.,BSE,ExchangeList
EPL,EPL Ltd,BSE,ExchangeList
ESTER,ESTER INDUSTRIES LTD.,BSE,ExchangeList
FGP,FGP LTD.,BSE,ExchangeList
PHCAP,PH CAPITAL LTD.,BSE,ExchangeList
FINCABLES,FINOLEX CABLES LTD.,BSE,ExchangeList
COCKERILL,John Cockerill India Ltd-$,BSE,ExchangeList
UFLEX,UFLEX LTD.,BSE,ExchangeList
FOSECOIND,FOSECO INDIA LTD.,BSE,ExchangeList
GANESHBE,GANESH BENZOPLAST LTD.,BSE,ExchangeList
METROGLOBL,Metroglobal Limited,BSE,ExchangeList
GTL,GTL LTD.,BSE,ExchangeList
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,BSE,ExchangeList
GODREJIND,GODREJ INDUSTRIES LTD.,BSE,ExchangeList
KANSAINER,KANSAI NEROLAC PAINTS LTD.,BSE,ExchangeList
GOODRICKE,GOODRICKE GROUP LTD.,BSE,ExchangeList
GOODYEAR,GOODYEAR INDIA LTD.,BSE,ExchangeList
GTNINDS,GTN INDUSTRIES LTD.,BSE,ExchangeList
GHCL,GHCL LTD.,BSE,ExchangeList
GFLLIMITED,GFL Ltd,BSE,ExchangeList
GLFL,GUJARAT LEASE FINANCING LTD.,BSE,ExchangeList
HCL-INSYS,HCL INFOSYSTEMS LTD.,BSE,ExchangeList
